# grok sweep (dgx lane)
# requested window: last 24 hours
# written:  2026-09-21T03:58:18Z  (local: 2026-09-20 23:58:18 EDT)
# query:    Search X for posts and replies from @no_stp_on_snek, @0xSero, @Brooooook_lyn, @bleysg, @Oluwaphilemon1, @MiaAI_lab, @apikey_official, @HealthRanger, @0xBakeer, @filicroval, @ksuniri, @jimmycheng722, @shantanugoel, @MarkusEicher70 in the last 24 hours about running LLMs on an NVIDIA DGX Spark (GB10): NVFP4 or FP8 recipes, vLLM, SGLang or TensorRT-LLM serving, aggregate multi-stream throughput, Nemotron or NVIDIA-org model builds, vision-language models, and agent runtimes. Output ONE bullet per post and nothing else -- no preamble, no summary: - <UTC timestamp> | @handle | <post URL> | <the claim in one sentence>. Omit any item without both a URL and a UTC timestamp. If nothing matches, output exactly: NO RESULTS

I'll search X for posts and replies from those accounts in the last 24 hours, then keep only items that have both a URL and a UTC timestamp.I’ll fill in the remaining accounts and pull replies that mention Spark serving, NVFP4/FP8, vLLM, SGLang, TensorRT-LLM, Nemotron, VLMs, or agent runtimes.I’ll split the 24-hour window and search the remaining handles so replies and extra Spark serving posts aren’t missed.I’ll check the remaining “Dgx spark” reply so the claim sentence names the model if the parent post does.- 2026-09-21 01:50:25 UTC | @ksuniri | https://x.com/ksuniri/status/2101851510363824153 | He says he keeps wanting to move to a 3x DGX Spark configuration.
- 2026-09-20 18:32:58 UTC | @shantanugoel | https://x.com/shantanugoel/status/2101741424282927504 | He hosts models on the Spark, laptop GPU, and Mac with an agent that adds models plus tests, and a Hermes skill that uses those local models.
- 2026-09-20 17:25:06 UTC | @jimmycheng722 | https://x.com/jimmycheng722/status/2101724343344546019 | He ran Qwen-Image-2.1 on a single DGX Spark at 20s for 1024², 98s for 2048², and 75s for a background swap, using ~17 GB with int8 weights and SageAttention for sm_121.
- 2026-09-20 17:13:55 UTC | @filicroval | https://x.com/filicroval/status/2101721528060518545 | He says serving Qwen3.8 Flash Next on a single Spark is the best option today and that he is updating his recipe.
- 2026-09-20 16:39:31 UTC | @shantanugoel | https://x.com/shantanugoel/status/2101712871772279248 | He generated images with Qwen Image 2.1 on his DGX Spark.
- 2026-09-20 15:01:22 UTC | @jimmycheng722 | https://x.com/jimmycheng722/status/2101688171843191230 | He asks whether a single DGX Spark can run Qwen-Image-2.1 with vLLM-Omni.
- 2026-09-20 14:31:18 UTC | @0xBakeer | https://x.com/0xBakeer/status/2101680606144856097 | He ran Qwen-Image-2.1 generation and editing on his DGX Spark and is testing other quants.
- 2026-09-20 14:09:55 UTC | @0xBakeer | https://x.com/0xBakeer/status/2101675223384793400 | He says he is generating his first image on a Spark.
- 2026-09-20 13:38:04 UTC | @0xBakeer | https://x.com/0xBakeer/status/2101667207629406463 | He reports a Jev-style decision model on his Spark making game moves in 60 ms at 15–32 decisions per second with zero output tokens.
- 2026-09-20 12:57:01 UTC | @0xSero | https://x.com/0xSero/status/2101656878723805204 | He is running Deepseek-v4.1-Flash on 4x DGX Sparks and still working on improving throughput.
- 2026-09-20 12:27:51 UTC | @MiaAI_lab | https://x.com/MiaAI_lab/status/2101649540122063136 | She reports GLM 5.3 Flash EXL3 at 95 tok/s across 4 concurrent streams on 3x DGX Sparks on mostly prose.
- 2026-09-20 11:23:20 UTC | @MarkusEicher70 | https://x.com/MarkusEicher70/status/2101633303950299417 | He uses his Spark for 90% of agentic work and API frontier models only for heavy tasks.
- 2026-09-20 11:10:50 UTC | @0xBakeer | https://x.com/0xBakeer/status/2101630156309774586 | He measured that sharing the GPU with a busy LLM stretched the Spark decision model from 20 ms to 300 ms, so he runs it as a separate process to leave the LLM KV cache untouched.
- 2026-09-20 10:41:35 UTC | @MiaAI_lab | https://x.com/MiaAI_lab/status/2101622796359020786 | She says you can run Qwen3.8 Flash Next on one Spark as a top-tier open model.
- 2026-09-20 08:59:16 UTC | @0xBakeer | https://x.com/0xBakeer/status/2101597047635705987 | He runs an open Jev-compatible 421M encoder (Laya) beside the LLM on his Spark, answering one question in 20.6 ms and fifty in 157 ms.
- 2026-09-20 06:52:45 UTC | @shantanugoel | https://x.com/shantanugoel/status/2101565208481386854 | On Qwen 3.8 Flash Next EXL3 4.05 bpw on his DGX Spark, medium thinking used ~1.5M tokens with the best voxel-garden quality versus ~3.2M (low) and ~36M (xHigh).
- 2026-09-20 05:09:10 UTC | @shantanugoel | https://x.com/shantanugoel/status/2101539140051558492 | He says he is running Qwen 3.8 Flash Next EXL3 on a DGX Spark.
- 2026-09-20 04:57:41 UTC | @ksuniri | https://x.com/ksuniri/status/2101536250914337269 | He says running an Astra-level local model would need an M5 Ultra 512G or 4x DGX Spark.
